Country Name,Country Code,Region,Income group,Year,Population,Basic Sanitation Access (Pct of Pop),Basic Drinking Water Access (Pct of Pop),Mobile Cellular Subscriptions (per 100 people)
Aruba,ABW,Latin America & Caribbean,High income,2000,90853,98.32020997,94.48880636,16.51018679
Afghanistan,AFG,South Asia,Low income,2000,20093756,23.89852171,27.06985916,0
Angola,AGO,Sub-Saharan Africa,Lower middle income,2000,16440924,20.49325083,37.76852024,0.156961981
Albania,ALB,Europe & Central Asia,Upper middle income,2000,3089027,88.32749596,87.58479499,0.954237228
Andorra,AND,Europe & Central Asia,High income,2000,65390,100,100,36.00397614
United Arab Emirates,ARE,Middle East & North Africa,High income,2000,3154925,99.97561966,99.6530433,45.26621077
Argentina,ARG,Latin America & Caribbean,High income,2000,37057452,94.77629476,99.01157595,17.50781462
Armenia,ARM,Europe & Central Asia,Upper middle income,2000,3069588,90.35967496,95.87336222,0.569652996
American Samoa,ASM,East Asia & Pacific,Upper middle income,2000,57521,62.65336597,98.5,3.463083048
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2000,83584,82.40930841,98.25376517,26.32082695
Australia,AUS,East Asia & Pacific,High income,2000,19153000,100,99.73510092,44.90754851
Austria,AUT,Europe & Central Asia,High income,2000,8011566,99.99998238,100,75.80605745
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2000,8048600,65.60368878,76.43698111,5.17559282
Burundi,BDI,Sub-Saharan Africa,Low income,2000,6400706,41.45096558,52.44397848,0.254971873
Belgium,BEL,Europe & Central Asia,High income,2000,10251250,99.48330969,100,54.74598263
Benin,BEN,Sub-Saharan Africa,Low income,2000,6865951,9.968434492,60.06423832,0.807987124
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2000,11607942,9.593210734,46.70862706,0.217480411
Bangladesh,BGD,South Asia,Lower middle income,2000,131581243,25.34631887,94.64647274,0.212036301
Bulgaria,BGR,Europe & Central Asia,Upper middle income,2000,8170172,85.82735317,99.74089367,9.227552572
Bahrain,BHR,Middle East & North Africa,High income,2000,664614,99.84785985,99.89794432,30.95435847
"Bahamas, The",BHS,Latin America & Caribbean,High income,2000,297890,88.59268768,98.38362672,10.58242976
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2000,3766706,94.9230497,96.39817433,2.479248447
Belarus,BLR,Europe & Central Asia,Upper middle income,2000,9979610,94.98285939,97.9032296,0.496828494
Belize,BLZ,Latin America & Caribbean,Upper middle income,2000,247315,82.56469238,87.57212206,6.797808463
Bermuda,BMU,North America,High income,2000,61833,99.99414291,99.99414291,20.30361717
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2000,8339512,38.25298092,78.81528616,6.986260107
Brazil,BRA,Latin America & Caribbean,Upper middle income,2000,175287587,73.26125386,93.7065826,13.22864408
Barbados,BRB,Latin America & Caribbean,High income,2000,269847,87.85740562,98.54368365,10.54931128
Brunei Darussalam,BRN,East Asia & Pacific,High income,2000,333241,,,28.50789669
Bhutan,BTN,South Asia,Lower middle income,2000,573416,53.18870819,80.96643014,0
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2000,1728340,54.31117982,76.86522882,12.85568812
Central African Republic,CAF,Sub-Saharan Africa,Low income,2000,3754986,15.01926145,52.09021152,0.132277457
Canada,CAN,North America,High income,2000,30769700,98.5,99.9,28.39362459
Switzerland,CHE,Europe & Central Asia,High income,2000,7184250,99.89987314,100,64.71825317
Channel Islands,CHI,Europe & Central Asia,High income,2000,148725,,,
Chile,CHL,Latin America & Caribbean,High income,2000,15262754,91.85634379,95.2637444,22.28644319
China,CHN,East Asia & Pacific,Upper middle income,2000,1262645000,60.57847386,77.50070014,6.644332017
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,2000,16686561,22.3775161,71.86248535,2.834328775
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2000,15274234,39.77688038,55.30392043,0.676164841
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,2000,47076387,22.36225675,34.37135654,0.031863108
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,2000,3225727,12.69947626,56.84796709,2.170053448
Colombia,COL,Latin America & Caribbean,Upper middle income,2000,40403958,75.79398565,90.04349355,5.585593867
Comoros,COM,Sub-Saharan Africa,Low income,2000,542357,26.84041601,86.39734945,0
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,2000,435079,37.4888486,77.90355339,4.534578778
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,2000,3925443,94.17395288,93.86576939,5.390831048
Cuba,CUB,Latin America & Caribbean,Upper middle income,2000,11150736,89.16709388,93.03019003,0.058614965
Curacao,CUW,Latin America & Caribbean,High income,2000,133860,,,
Cayman Islands,CYM,Latin America & Caribbean,High income,2000,41687,,,25.66747427
Cyprus,CYP,Europe & Central Asia,High income,2000,943286,100,100,23.14502373
Czech Republic,CZE,Europe & Central Asia,High income,2000,10255063,99.13971169,99.80612464,42.23693374
Germany,DEU,Europe & Central Asia,High income,2000,82211508,99.21238396,100,59.15244421
Djibouti,DJI,Middle East & North Africa,Lower middle income,2000,717584,50.97559602,74.84371103,0.032051997
Dominica,DMA,Latin America & Caribbean,Upper middle income,2000,69676,64.03242327,93.475,1.722257305
Denmark,DNK,Europe & Central Asia,High income,2000,5339616,99.59724064,100,62.97378451
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,2000,8562622,79.34228017,91.0932912,8.238492835
Algeria,DZA,Middle East & North Africa,Upper middle income,2000,31183660,83.73057425,89.8372564,0.275785459
Ecuador,ECU,Latin America & Caribbean,Upper middle income,2000,12628596,70.81029719,83.09870988,3.818421304
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2000,69905988,92.44353025,98.23513692,1.945326915
Eritrea,ERI,Sub-Saharan Africa,Low income,2000,3392801,7.549491929,16.82808588,0
Spain,ESP,Europe & Central Asia,High income,2000,40567864,99.90186631,100,59.32239009
Estonia,EST,Europe & Central Asia,High income,2000,1396985,99.10070075,99.13608752,39.81096581
Ethiopia,ETH,Sub-Saharan Africa,Low income,2000,66537331,3.15008701,16.73468588,0.026687274
Finland,FIN,Europe & Central Asia,High income,2000,5176209,99.4482105,100,71.87081844
Fiji,FJI,East Asia & Pacific,Upper middle income,2000,811223,80.48463787,94.6031105,6.786913093
France,FRA,Europe & Central Asia,High income,2000,60912500,98.6630282,99.89470982,48.73886397
Faroe Islands,FRO,Europe & Central Asia,High income,2000,47258,,100,35.91138008
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,2000,107432,,92.61359,0
Gabon,GAB,Sub-Saharan Africa,Upper middle income,2000,1231122,39.01483459,78.71260483,9.747206207
United Kingdom,GBR,Europe & Central Asia,High income,2000,58892514,99.12998593,100,73.70886336
Georgia,GEO,Europe & Central Asia,Lower middle income,2000,4418300,96.54953308,88.55739068,4.124069606
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2000,18938762,11.16384757,64.36040776,0.686660511
Gibraltar,GIB,Europe & Central Asia,High income,2000,31180,,99.61827037,17.82552919
Guinea,GIN,Sub-Saharan Africa,Low income,2000,8808546,9.105087318,54.49865614,0.478081173
"Gambia, The",GMB,Sub-Saharan Africa,Low income,2000,1231844,55.21596573,73.84811696,0.454603018
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,2000,1243229,11.96687588,52.78843045,0
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2000,614323,80.17827609,48.90513913,0.813904086
Greece,GRC,Europe & Central Asia,High income,2000,10805808,96.55400481,99.3828771,53.24304111
Grenada,GRD,Latin America & Caribbean,Upper middle income,2000,101619,94.23275561,93.30763781,4.231492142
Greenland,GRL,Europe & Central Asia,High income,2000,56200,99.59725483,100,26.90520694
Guatemala,GTM,Latin America & Caribbean,Upper middle income,2000,11650743,59.20646553,85.46690992,7.354303498
Guam,GUM,East Asia & Pacific,High income,2000,155329,88.73817244,99.4,17.51121812
Guyana,GUY,Latin America & Caribbean,Upper middle income,2000,753301,78.35908499,88.26870728,5.287395078
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,2000,6665000,96.95454546,98.67125,81.74713153
Honduras,HND,Latin America & Caribbean,Lower middle income,2000,6524283,61.90922475,82.2058632,2.379893699
Croatia,HRV,Europe & Central Asia,High income,2000,4426000,97.14465307,98.50969711,23.3284373
Haiti,HTI,Latin America & Caribbean,Low income,2000,8549200,16.73730616,56.42140552,0.643335049
Hungary,HUN,Europe & Central Asia,High income,2000,10210971,98.04372898,99.96309896,30.09748215
Indonesia,IDN,East Asia & Pacific,Lower middle income,2000,211540429,44.24109356,74.56655528,1.734574813
Isle of Man,IMN,Europe & Central Asia,High income,2000,72554,,,
India,IND,South Asia,Lower middle income,2000,1053050912,21.67809241,80.41490389,0.339688704
Ireland,IRL,Europe & Central Asia,High income,2000,3805174,88.57396251,96.08131887,63.94240663
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,2000,66131854,87.24740275,94.99207424,1.455569354
Iraq,IRQ,Middle East & North Africa,Upper middle income,2000,23565413,75.23893938,81.35497895,0
Iceland,ISL,Europe & Central Asia,High income,2000,281205,98.7964079,100,76.62952199
Israel,ISR,Middle East & North Africa,High income,2000,6289000,100,100,73.16577152
Italy,ITA,Europe & Central Asia,High income,2000,56942108,,100,73.73582875
Jamaica,JAM,Latin America & Caribbean,Upper middle income,2000,2656864,83.75071925,90.77144599,13.81147097
Jordan,JOR,Middle East & North Africa,Upper middle income,2000,5103130,98.54394137,99.58848969,7.621773304
Japan,JPN,East Asia & Pacific,High income,2000,126843000,99.98328983,98.47611465,52.36596403
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,2000,14883626,96.94625313,86.1790875,1.310322398
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2000,31450483,31.00680176,46.3881339,0.405093938
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,2000,4898400,91.90658223,80.3243882,0.182900138
Cambodia,KHM,East Asia & Pacific,Lower middle income,2000,12152354,12.26159396,52.40165587,1.074252774
Kiribati,KIR,East Asia & Pacific,Lower middle income,2000,84406,30.25866231,60.79332286,0.35542497
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,2000,45374,85.35355952,98.21339286,2.644686384
"Korea, Rep.",KOR,East Asia & Pacific,High income,2000,47008111,100,,56.59102148
Kuwait,KWT,Middle East & North Africa,High income,2000,2050741,100,100,23.21112222
Lao PDR,LAO,East Asia & Pacific,Lower middle income,2000,5329304,27.97081401,45.82926228,0.23794852
Lebanon,LBN,Middle East & North Africa,Upper middle income,2000,3235366,75.06015705,85.39440026,22.96494431
Liberia,LBR,Sub-Saharan Africa,Low income,2000,2884522,13.11335703,61.7105199,0.052001683
Libya,LBY,Middle East & North Africa,Upper middle income,2000,5355751,99.7,,0.746860711
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,2000,156949,78.70644522,88.48083934,1.592874118
Liechtenstein,LIE,Europe & Central Asia,High income,2000,33286,99.95,100,30.04266058
Sri Lanka,LKA,South Asia,Lower middle income,2000,18781938,85.37815263,77.46903302,2.290509105
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,2000,1868699,7.219113467,66.36987879,1.155884388
Lithuania,LTU,Europe & Central Asia,High income,2000,3499536,84.86982521,90.04549146,14.96358338
Luxembourg,LUX,Europe & Central Asia,High income,2000,436300,97.71136156,99.92108,69.54182842
Latvia,LVA,Europe & Central Asia,High income,2000,2367550,86.51027714,97.65262407,16.83072844
"Macao SAR, China",MAC,East Asia & Pacific,High income,2000,427979,,100,32.95769185
St. Martin (French part),MAF,Latin America & Caribbean,High income,2000,28384,,,
Morocco,MAR,Middle East & North Africa,Lower middle income,2000,28849621,68.67433706,64.12549014,8.117957598
Monaco,MCO,Europe & Central Asia,High income,2000,32082,100,100,43.41063525
Moldova,MDA,Europe & Central Asia,Lower middle income,2000,3639592,72.0961661,84.05934754,3.30866592
Madagascar,MDG,Sub-Saharan Africa,Low income,2000,15766806,4.588108865,36.68813999,0.400169825
Maldives,MDV,South Asia,Upper middle income,2000,280384,78.11427412,88.58493936,2.724121205
Mexico,MEX,Latin America & Caribbean,Upper middle income,2000,101719673,76.32649744,89.31018685,13.83987933
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,2000,52159,,,0.856994958
"Macedonia, FYR",MKD,Europe & Central Asia,Upper middle income,2000,2034819,89.84863872,97.8888956,5.688368351
Mali,MLI,Sub-Saharan Africa,Low income,2000,10967690,19.34145862,49.22409852,0.094805743
