Period,Sub_Period,forecast_StoreFront2_ETS,forecast_StoreFront2_ETS_high_95,forecast_StoreFront2_ETS_high_80,forecast_StoreFront2_ETS_low_80,forecast_StoreFront2_ETS_low_95
4,11,263364.266251151,287677.405536964,279261.773532311,247466.75896999,239051.126965337
4,12,254026.065027999,281793.078483989,272181.939240847,235870.19081515,226259.051572009
5,1,295564.400275576,332215.437655677,319529.225498793,271599.575052359,258913.362895475
5,2,283905.868258938,322842.01865296,309364.848570481,258446.887947396,244969.717864917
5,3,321700.271615927,369679.40699308,353072.141987563,290328.401244291,273721.136238774
5,4,327352.512306974,379812.020233472,361653.940823621,293051.083790327,274893.004380476
5,5,328885.305050201,385010.355847308,365583.503222542,292187.10687786,272760.254253094
5,6,296870.657911339,350444.263105738,331900.555475943,261840.760346736,243297.05271694
5,7,262477.059660991,312287.74816848,295046.518253674,229907.601068309,212666.371153503
5,8,256705.846189112,307701.462618051,290050.087504728,223361.604873496,205710.229760172
5,9,264514.634746212,319312.309531488,300344.908395732,228684.361096692,209716.959960936
5,10,256259.005588453,311442.710120607,292341.690522242,220176.320654663,201075.301056298
