Loan Amount,Funded Amount,Funded Amount Investor,Term,Home Ownership,Debit to Income,Delinquency - two years,Inquires - six months,Open Account,Public Record,Revolving Balance,Revolving Utilities,Total Accounts,Total Received Interest,Total Received Late Fee,Recoveries,Collection Recovery Fee,Collection 12 months Medical,Last week Pay,Accounts Delinquent,Total Collection Amount,Total Current Balance,Total Revolving Credit Limit
27859,33502,16545.20307,36,68062.5995,17.71530168,0,0,9,0,5904,44.38899747,13,150.37666299999998,0.039969602,3.345746622,0.627521787,0,126,0,26,212092,15379
14058,26523,9622.342364,59,48423.25999,32.48889253,6,0,26,0,18181,46.83020379,16,1752.7990120000002,32.28935626,2.12352138,1.0560051,0,76,0,47,151581,9818
15330,21812,12374.39093,59,71528.43557,29.10877574,0,0,10,0,1553,27.85253293,14,551.7245056,0.013078999,1.931140801,0.676964957,0,88,0,430,34588,9411
31701,31200,23464.35525,59,73168.38098,19.88250301,0,0,9,0,4583,60.9593952,46,3178.229655,0.0304375579999999,0.936724524,1.029249186,0,139,0,570,118218,33597
4949,11569,15248.538030000002,58,46663.01716,15.73929688,0,0,17,0,6849,64.90503129,27,3306.92562,0.052172785,4.784158664,0.394677072,0,155,0,41,27225,11498
25004,22761,9637.714679,59,56570.39291,19.44420196,0,0,30,0,6137,68.3662372,25,1908.953601,0.004856773,5.0362877180000005,0.0423459359999999,0,152,0,49,39430,5546
4433,25921,11002.01874,59,73679.4657,30.62014287,0,0,12,0,9137,58.00023663,11,1518.400856,0.02172259,3.0636899210000004,1.083889961,0,96,0,1127,285645,37649
23234,10633,17320.33314,59,92295.37805,23.50325258,0,0,13,0,7147,69.65108525,11,388.8950153,0.034715376,9.055810755,0.920025432,0,93,0,54,37571,5724
8340,12161,10179.75447,59,43375.83938,33.84939227,2,0,17,0,5475,5.472934544,9,382.9302053,0.029783126,2.688327548,0.5217430789999999,0,54,0,29,14901,12946
19012,8291,11909.23019,59,130973.8078,32.54295719,0,0,6,0,9832,63.93753325,25,195.9797285,0.00377072,4.036304952,1.055537261,0,13,0,20,45783,23352
32707,23082,27140.61858,59,67972.42952,14.53249364,0,0,10,0,4849,59.08607464,11,1564.5237949999998,0.034562491,4.267974628999999,1.11098436,0,67,0,51,421009,11260
27362,10036,8188.797012000001,59,217856.0848,33.84540946,0,0,24,0,5918,3.226988399,44,787.0616981000001,0.023057766,0.539974127,0.906717925,0,59,0,48,61093,17876
14313,8848,21769.32358,58,80258.1946,34.78516673,0,0,27,0,13987,66.89567021,20,1066.044518,0.040101589,4.283744362,0.284561322,0,8,0,26,64217,87247
5545,11999,15129.043430000002,59,175655.9506,12.62817907,1,0,27,0,6253,67.63337951,23,13032.30854,0.033171519,5.472740746,0.767940965,0,154,0,13,44467,25191
1558,8027,9976.467232,58,37602.38125,9.220512811,0,0,9,0,2761,64.10941024,4,1230.362315,0.096776485,0.112569114,1.045654564,0,76,0,55,220116,4628
5062,11509,12523.59083,58,37459.959010000006,24.93428383,0,0,14,0,6018,43.18060979,34,2094.927531,0.102442381,0.1644326,0.4237197789999999,0,92,0,42,62426,62164
21245,27111,23441.05592,59,64962.3256,28.26095438,1,0,14,0,4295,76.18284671,9,8462.466836,0.037623952,5.766500818,1.218432696,0,8,0,21,112488,5692
20399,11195,13317.94892,59,80175.64941,28.98560271,0,0,13,0,4470,72.38994828,24,891.6000703,0.022352251,2.169700999,0.760266883,0,108,0,25,45386,19233
12696,8711,10018.73171,59,67550.95767999999,29.33814997,0,0,9,0,29,39.05180685,18,2201.023008,0.03531403,4.057420174,0.74657581,0,78,0,55,290924,9807
20687,20794,7945.758827,59,84096.65883,38.12360154,0,0,13,0,9016,42.70844266,20,6846.972022,0.062972708,6.479215176,0.603974143,0,123,0,48,251979,34484
33256,17173,12122.7391,58,131856.3101,37.4633343,0,2,14,0,13583,35.18095667,9,1095.794942,0.018980082,5.849903478,0.636939912,0,53,0,36,225999,35101
1327,9467,13071.16942,58,44618.30116,11.42533138,1,0,12,0,4686,38.08938944,7,686.5885668999999,0.036496341,6.942344627000001,0.6526528620000001,0,141,0,35,137878,50643
34637,11374,12856.15937,59,46333.35713,20.10982212,0,0,10,0,699,10.77919258,19,2037.135155,0.015299743,7.065414502,0.844673146,0,44,0,8,196500,11760
14710,24368,27422.19698,59,41288.58148,25.24288733,0,2,12,1,7696,27.43612669,28,8238.446635,0.077801829,1.88848246,1.056502215,0,140,0,34,243677,1811
5903,12236,13718.60719,58,131462.158,24.12706789,0,0,15,0,8886,52.58889844,7,797.21413,0.101020711,6.185972811,0.252841053,0,31,0,48,224844,15572
28187,28935,19688.12564,58,57928.88911,17.73237016,0,0,13,1,2923,31.14830029,8,1434.519575,0.005717813,2.532380798,1.282272197,0,47,0,45,406049,23247
13511,9786,23285.22505,59,126501.49,18.77166045,0,0,11,0,2928,34.77256745,5,1136.55765,0.038435215,6.385366701000001,0.2038866289999999,0,58,0,40,130970,14202
25463,5261,13093.16673,59,39065.55499,12.45895401,0,0,9,0,10770,73.58068798,20,722.4738672,0.059357916,8.548846300000001,0.293360006,0,87,0,39,206143,41625
15015,10236,8300.919737999999,59,76702.11929,20.157502800000003,0,0,13,1,5040,43.07661669,21,684.6361341,0.050840839,6.423053521,1.369187538,0,146,0,51,202824,44959
14580,22684,20227.43361,59,44383.56058,16.72297654,0,0,10,0,33995,90.11142978,16,2284.265631,0.043511214,5.552821869,26.91204409,0,74,0,23,143251,9454
13944,2757,21893.1657,59,71057.96953,13.05348952,0,0,13,1,2046,69.89585886,13,1225.907978,0.005634665,1.817434658,0.7247072990000001,0,97,0,29,233942,9380
23784,26413,9069.17689,58,43368.495160000006,16.66723819,0,0,14,0,328,79.07322402,17,405.0798474,0.000692957,6.4003291760000005,1.069978439,0,160,0,35,70813,12473
16334,9367,23251.085580000003,59,135009.9021,20.10017492,0,0,14,0,2202,56.00548083,33,6625.776825,0.032751167,573.3063042,0.7092497879999999,0,71,0,51,50437,5448
26246,14937,9076.57713,59,70705.31977,11.53861798,0,2,12,1,11629,77.71389174,11,891.0701015000001,0.0434268359999999,7.694741134,1.018968284,0,138,0,42,232981,11496
28382,34920,20778.96761,58,111226.8734,37.61878858,0,0,15,0,12798,69.64121273,5,8282.148856,0.008488419,3.847774195,0.432711442,0,20,0,454,17788,7243
32639,31242,20940.39572,59,101408.3996,28.14297926,0,0,17,0,13361,56.93610126,27,5421.443423,0.004576439,2.954797457,0.736237521,0,147,0,24,93062,12288
28140,6892,10096.62449,58,125514.2352,29.60209858,2,0,8,0,4069,56.21752728,23,3593.838113,0.06799845,2.973943485,0.333916226,0,111,0,12,75847,30134
27002,31838,20933.32551,59,72747.22863,17.38404968,0,0,13,0,11851,24.3474997,9,449.9845907,0.036503197,0.8509246690000001,1.4041864380000002,0,99,0,24,119054,140519
15790,7999,22029.55989,58,68245.06092999999,30.818130600000003,0,0,8,0,4397,59.27539746,16,2081.790991,0.049689382,7.415667261,0.858069649,0,62,0,38,113061,45532
22704,26963,9631.546354,59,48869.72455,33.45926799,1,1,13,0,4015,67.88334995,4,2776.726429,0.026451175,5.863756700000001,0.926898204,0,43,0,30,13677,32621
10111,11422,13014.74016,59,82379.63408999999,23.12250007,0,0,12,0,5582,72.03506032,27,429.5565541,0.02511497,1.645979932,1.351411303,0,35,0,48,100973,5934
24440,25201,34504.37851,59,65852.9537,34.30839691,0,0,17,1,15604,49.65599578,8,3176.226865,0.041148821,8.682439562,0.628482833,0,21,0,34,201539,11283
